50,P. phutunio (Hamilton),165,Hara hara (Hamilton)
51,P. sophore (Hamilton),166,H. jerdoni Day
52,P. ticto (Hamilton),167,Conta conta (Hamilton)
53,P. clavatus clavatus (McClelland),168,Glyptosternum maculatum (Regan)
54,P. sarana sarana (Hamilton),169,G. reticulatum McClelland
55,P. terio (Hemilton),170,Laguvia ribeiroi Hora
56,Semiplotus semiplotus (McClelland),171,L. kapuri Tilak & Hussain
57,Cirrhinus mrigala (Hamilton),172,Glyptothorax annandalei Hora
58,C. reba (Hamilton),173,G. cavia (Hamilton)
59,Catla catla (Hamilton),174,G. conirostris conirostae (Steindacher)
60,Labeo angra (Hamilton),175,G. gracillis (Gunther)
61,L. bata (Hamilton),176,G. indicus Talwar & Jhingran
62,L. boga (Hamilton),177,Glyptothorax kashmirensis Hora
63,L. calbasu (Hamilton),178,G. pectinopterus (McClelland)
64,L. dero (Hamilton),179,G. telchitta telchitta (Hamilton)
65,L. fimbriatus (Bloch),180,G. trilineatus (Blyth)
66,L. gonius (Hamilton),181,G. alaknandi Tilak
67,L. pangusia (Hamilton),182,G. garhwali Tilak.
68,L. rohita (Hamilyon),183,G. botius (Hamilton)
69,L. caeruleus (Day),184,Euchiloglanis hodgarti (Hora)
70,L. dyocheilus dyocheilus (McClell.),185,Coraglanis kishinouyei (Kimura)
71,Schismatorhynchus (Nukta) nukta (Sykes),186,Myersglanis blythii (Day)
72,Schizothorax richardsonii (Gray),187,Exostoma labiatus (McClelland)
73,S. sinuatus (Heckel),188,Pseudechenesis sulcatus (McClelland)
74,Schizothoraichthys curvifrons (Heckel),189,P. crassicaudata sp. nov. Ng & Edds
75,S. ecocinus (Heckel),190,P. serracula sp. nov. Ng & Edds
76,S. niger (Heckel),191,P. eddsi sp. nov. Ng
77,S. labiatus (McClelland),192,Sisor rhabdophorus (Hamilton)
78,S. progastus (McClelland),193,Sisor rheophilus Ng
79,"Schizothoraicthys macrophthalmus
(Terashima)",194,Clarius batrachus (Linnaeus)
80,S. nepalensis (Terashima),195,Heteropneustes fossillis (Bloch)
81,S. raraensis (Terashima),196,Chaca chaca (Hamilton)
82,Dipticus maculates Steindachner,197,Olyra longicaudata McClelland
83,Crossocheilus latius latius (Hamilton),198,Sicamugil cascasia (Hamilton)
84,Garra annandalei Hora,199,Rhinomugil corsula (Hamilton)
85,G. gotyla gotyla (Gray),200,Xenentodon cancila (Hamilton)
86,Garra lamta (Hamilton),201,Hyporhamphus limbatus (Valenciennes)
87,G. lissorhynchus (McClelland),202,Aplocheilus panchax (Hamilton)
88,G. mullya (Sykes),203,Monopterus cuchia (Hamilton)
89,G. nasuta (McClelland),204,Macragnathus aral (Bloch & Schneider)
90,G. rupecula (McClelland),205,M. pancalus (Hamilton)
91,Psilorhynchus balitora (Hamilton),206,M. zebrinus (Blyth)
92,P. sucatio (Hamilton),207,Mastacembelus armatus (Lacepede)
93,P. gracillis Rainboth,208,Chanda nama (Hamilton)
94,P. nepalensis (Conway & Mayden),209,Parambassis baculis (Hamilton)
95,"Psilorhynchoides. Homaloptera Hora &
Mukherji",210,P. ranga (Hamilton)
96,P. pseudecheneis Menon & Datta,211,P. lala (Hamilton)
97,Homaloptera bilineata (Blyth),212,Johnius coiter (Hamilton)
98,Balitora brucei Gray,213,Daysciaena albida (Cuvier)
99,B. eddsi sp. Nov. conway & Mayden,214,Badis badis (Hamilton)
100,Acanthocobitis botia (Hamilton),215,Nandus nandus (Hamilton)
101,Nemacheilus. Corica (Hamilton),216,Glossogobius giuris (Hamilton)
102,Turcinomacheilus himalaya (Banarescu  & Nalbant),217,Brachyamblyopus burmanicus (Hora)
103,Schistura beavani Gunther,218,Anabas testudineus (Bloch)
104,S. devdevi Hora,219,A. cobojius (Hamilton)
105,S. multifaciatus Day,220,Ctenops nobilis (McClelland)
106,S. rupecola rupecula (McClelland),221,Colisa fasciatus (Bloch & Schneider)
107,S. rupecula inglishi (Hora),222,C. lala (Hamilton)
108,S. savona (Hamilton),223,C. sota (Hamilton)
109,S. scaturigina (McClelland),224,C. barca (Hamilton)
110,S. sikamaiensis (Hora),225,C. marulius (Hamilton)
111,S. prashadi (Hora),226,Channa orientalis (Bloch & Schneider)
112,S. horai (Menon),227,C. punctatus (Bloch)
113,S. himachalensis (Menon),228,C. stewartius (Playfair)
114,Aborichthys elangatus (Hora),229,C. Striaraus (Bloch)
115,Botia almorhae Gray,230,Tetradon cutcutia (Hamilton)
