Protected Area,Year Established,Area (sq. km.),Elevation (m),Conservation Significance
9 Shivapuri-Nagarjun,2002,159,"1,366-2,732","Conservation of watershed that drains the Kathmandu Valley is a major objective. Around 19 species of mammals including Himalayan black bear, leopard, barking deer, wild boar, wild cat, rhesus monkey and langur monkey, 177 species of birds, 102 species of butterflies, and 129 varieties of mushrooms are reported."
10 Banke,2010,550,360-480,"Conservation of endangered wildlife and strengthening of transboundary biological corridor are some of the main objectives. Includes eight natural ecosystems, and houses 124 species of plants, 34 mammals, more than 300 birds, 24 reptiles, seven amphibians, and 58 fish species"
,,,,
Wildlife Reserves,,,,
1 Shuklaphanta,1976,305,90-270,"Major wildlife consists of swamp deer, wild elephant, tiger, several species of deer, wild boar, leopard, and monkeys. Marsh mugger crocodile, cobra, and python are Common reptiles.Important Bird Area; Saruscrane,swampfrancolin,grassowl, warblers, flycatchers, Bengal florican are the common birds found in the sub-tropical sal forest and open grasslands."
"2 Koshi Tappu (Ramsar Site, 1987)",1976,175,80-100,"Wild buffalo and Siberian migratory birds are the main focus of conservation. Vegetation consists of grasslands with patches of scrub and deciduous riverine forests. Many other species of mammals (such as wild elephants, wild boar, hog deer, spotted deer, blue bull and jackal); Important Bird Area; 479 species of birds, and reptiles are found. Gangetic dolphins are found in the Koshi River."
3 Parsa,1984,499,150-815,"Wildlife species including wild elephant, tiger leopard, sloth bear, and gaur; reptiles including king cobra, common cobra, krait, rat snake and python; over 370 species of birds including the endangered great hornbill are reported. Natural vegetation consists of tropical and sub-tropical sal forests. Chir pine, khair, and sissoo trees are found on the hilly parts."
,,,,
Hunting Reserve,,,,
1 Dhorpatan,1987,1325,"2,850-7,000","The reserve is famous for blue sheep, which is open for regulated trophy hunting"
,,,,
Conservation areas,,,,
1 Annapurna,1992,7629,"1,000-8,092","Endemic plants and mountains are the main characteristics. Over 100 species of mammals including blue sheep and endangered snow leopard; 39 species of reptiles; 22 species of amphibians; Important Bird Area (IBA); 474 species of birds including multi-colored impeyan pheasant, kokla and blood pheasant are reported. Many species of orchids and rhododendrons are found."
2 Kanchanjunga,1997,2035,"1,200-8,598","Mammals including endangered snow leopard, Himalayan black bear, musk deer, red panda, blue sheep, rhesus monkey; 252 species of different birds including impeyan pheasant, red-billed blue magpie, ashy drongo; 20 indigenous gymnosperms, 15 among Nepal's 23 endemic flowering plants, 30 varieties of rhododendrons and 48 varieties of orchids are reported."
3 Manasula,1998,1663,"1,360-8,163","Snow leopard, musk deer and Himalayan Tahr are among the 33 species of mammals found in the conservation area. Over 110 species of birds and 1,500-2,000 species of flowering plants are reported."
4 Gaurishankar,2010,2179,"1,000-7,200",
5 Khairapur,2010,16,120-230,The first organized effort to conserve the endangered blackbuck (Antilope cervicapra).
6 Api Nampa,2010,1903,"539-7,132","Snow leopard, musk deer, clouded leopard, ghoral, Himalayan black bear and Himalayan tahr are found in the area."
