Type of gene/s,Phenomena type,Phenomena,Individuals,Out of,Phenotypes,Genotypes
Each gene pair affecting the same character,14,Gene pair B: glandular dominant to glandless,,,,
Each gene pair affecting the same character,14,"Interaction: dominants at A and B, when present together, produce pigment glands; absence of dominant allele at one gene pair produces glandular plants only when the dominant allele at the other gene pair in homozygous (e.g., aaBB, Aabb)",,,,
,,,,,,
Each gene pair affecting the same character,15,Partial dominance at both gene pairs; additive effects for each partially dominant gene,1,16,purple shade 10,1
Each gene pair affecting the same character,15,Example: flower color in beans (Mendel),2,16,purple shade 8,"2, 5"
Each gene pair affecting the same character,15,"Gene pair A: purple flower color partially dominant to white; additive effect on color for each A gene (i.e., value of 3)",2,16,purple shade 7,"3, 9"
Each gene pair affecting the same character,15,"Gene pair B: purple flower color partially dominant to white; additive effect on color for each A gene (i.e., value of 2)",1,16,purple shade 6,6
Each gene pair affecting the same character,15,,4,16,purple shade 5,"4, 7, 10, 13"
Each gene pair affecting the same character,15,,1,16,purple shade 4,11
Each gene pair affecting the same character,15,,2,16,purple shade 3,"8, 14"
Each gene pair affecting the same character,15,,2,16,purple shade 2,"12, 15"
Each gene pair affecting the same character,15,,1,16,purple shade 0 (white),16
